word,synonyms,Kannada,English,Hindi
देवकीनन्दन,विष्णु नारायण कृष्ण वैकुण्ठ विष्टरश्रवस् दामोदर हृषीकेश केशव माधव स्वभू दैत्यारि पुण्डरीकाक्ष गोविन्द गरुडध्वज पीताम्बर अच्युत शाङ्गिर्न् विष्वक्सेन जनार्धन उपेन्द्र इन्द्रावरज चक्रपाणि चतुर्भुज पद्मनाभ मधुरिपु वासुदेव त्रिविक्रम देवकीनन्दन शौरि श्,ವಿಷ್ಣು,Vishnu,विष्णु
शौरि,विष्णु नारायण कृष्ण वैकुण्ठ विष्टरश्रवस् दामोदर हृषीकेश केशव माधव स्वभू दैत्यारि पुण्डरीकाक्ष गोविन्द गरुडध्वज पीताम्बर अच्युत शाङ्गिर्न् विष्वक्सेन जनार्धन उपेन्द्र इन्द्रावरज चक्रपाणि चतुर्भुज पद्मनाभ मधुरिपु वासुदेव त्रिविक्रम देवकीनन्दन शौरि श्,ವಿಷ್ಣು,Vishnu,विष्णु
विधु,त्यक्त हीन विधुत समुज्झित धूत उत्सृष्ट,None,None,None
वसुदेव,वसुदेव आनकदुन्दुभि,ವಸುದೇವ (ಕೃಷ್ಣನ ತಂದೆ),full moon day asudeva (Krishna's father), वसुदेव (कृष्ण के पिता)
प्रलम्बघ्न,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
बलदेव,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
अच्युताग्रज,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
रेवतीरमण,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
राम,गृहाराम निष्कुट,ಮನೆತೋಟ,A garden in a house,घर के पास में लगाये हुए उद्यान
कामपाल,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
हलायुध,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
रौहिणेय,बुध रौहिणेय सौम्य,ಬುಧ,Budha (Mercury),बुध
मुसलिन्,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
हलिन्,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
सीरपाणि,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
बल,शबल चित्र किर्मीर कल्माष एत कर्बुर,ಚಿತ್ರ ಬಣ್ಣ,Variegated,चितकबरे रंग
मदन,उन्मत्त कितव धूर्त धत्तूर कनकाह्वय मातुल मदन,"ಉಮ್ಮತ್ತಿ ಗಿಡ, ದತ್ತೂರಿ ಗಿಡ","Datura Stramonium, The thorn apple tree (Datura Metel)",धतूरे
मन्मथ,कपित्थ दधित्थ ग्राहिन् मन्मथ दधिफल पुष्पफल दन्तशठ,ಬೇಲ,The wood apple tree (Feronia Elephentum),कैथ
मार,वायु श्वसन स्पर्शन मातरिश्वन् सदागति पृषदश्व गन्धवह गन्धवाह अनिल आशुग समीर मारुत मरुत् जगत्प्राण समीरण नभस्वत् वात पवन पवमान प्रभञ्जन प्रकम्पन अतिबल,ವಾಯು,Vayu (wind),वायु
प्रद्युम्न,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
मीनकेतन,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
कन्दर्प,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
दर्पक,मन्मथ मदन मार प्रद्युम्न मीनकेतन कन्दर्प दर्पक अनङ्ग काम पञ्चशर स्मर शम्बरारि मनसिज कुसुमेषु अनन्यज पुष्पधन्वन् रतिपति मकरध्वज आत्मभू ब्रह्मसू विश्वकेतु अनिरुद्ध उषापति शृङ्गारयोनि श्रीपुत्र शूर्पकाराति,ಮನ್ಮಥ,Manmatha (Cupid),मन्मथ
