word,synonyms,Kannada,English,Hindi
पशुपति,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
शिव,शिवमल्ली पाशुपत एकाष्ठील वुक वसु,ಬಕ್ಕ ಪುಷ್ಪ,The Aeschynomene grandiflora,गुम्मा
शूलिन्,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
महेश्वर,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
ईश्वर,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
शर्व,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
ईशान,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
चन्द्रशेखर,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
भूतेश,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
खण्डपरशु,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
गिरीश,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
गिरिश,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
मृड,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
कृत्तिवासस्,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
पिनाकिन्,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
प्रमथाधिप,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
उग्र,उग्र,"ಶೂದ್ರ ಸ್ತ್ರೀಗೂ, ಕ್ಷತ್ರಿಯನಿಗೂ ಹುಟ್ಟಿದವನು",Offspring of a Kshatriya father and Sudra mother,शूद्रवर्ण की स्त्री और क्षत्रियवर्ण के पुरुष से उत्पन्न सन्तान
कपर्दिन्,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
श्रीकण्ठ,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
शितिकण्ठ,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
कपालभृत्,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
वामदेव,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
महादेव,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
विरूपाक्ष,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
त्रिलोचन,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
कृशानुरेतस्,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
धूर्जटि,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीलल,b'',b'',b''
नीललोहित,शिव शम्भु ईश पशुपति शूलिन् महेश्वर ईश्वर शर्व ईशान शङ्कर चन्द्रशेखर भूतेश खण्डपरशु गिरीश गिरिश मृड मृत्युञ्जय कृत्तिवासस् पिनाकिन् प्रमथाधिप उग्र कपर्दिन् श्रीकण्ठ शितिकण्ठ कपालभृत् वामदेव महादेव विरूपाक्ष त्रिलोचन कृशानुरेतस् सर्वज्ञ धूर्जटि नीललोहित,ಶಿವ,Shiva,शिव
हर,प्रभात प्रत्यूष अहर्मुख कल्य उष प्रत्युषस् व्युष्ट विभात गोसर्ग,ಪ್ರಾತಃಕಾಲ,"Morning, ",प्रातःकाल
